,index,id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted,enjoyment,shortcap
104,84,17846913695866660,2022-11-13,6,Sun,197,15,3,190,0,0,18,https://www.instagram.com/reel/Ck6YETWsg2m/,"Avocado latte 🥑 

-avocado 
-condensed milk
-milk
-ice
-cold brew

#avocado #avocadolatte #icedcoffee #latte #cold #coldbrew #coldbrewcoffee #coffee #coffeetime #coffeelover #viral #asmr #fyp #miami",14,19,7.614213197969544,"Avocado latte 🥑 

-avocad"
105,85,17939354975520132,2022-11-20,6,Sun,341,21,0,320,0,1,22,https://www.instagram.com/reel/ClMXC9BrMLf/,"Strawberry Mocha Iced Latte🍓🍫

-Chocolate
-Coffee
-Strawberries
-homemade strawberry syrup
-Ice
-milk

#icedlatte #mochacoffee #icedmocha #coffee #icedcoffee #coffeetime #strawberry #strawberries #coffeelovers #miami #asmr #fyp",12,18,6.158357771260997,Strawberry Mocha Iced Lat
107,86,17994203872605531,2022-11-22,1,Tues,271,18,0,263,0,0,18,https://www.instagram.com/reel/ClRVcXspz9T/,"Dirty Caramel Matcha Latte 💚🤍🤎a full dose of antioxidants and energy 🤪

#matcha #matchalatte #caramel #homemade #ice #icedlatte #latte #trending #trendingreels",9,17,6.642066420664207,Dirty Caramel Matcha Latt
108,87,18039289840399611,2022-12-03,5,Sat,848,54,1,835,4,3,62,https://www.instagram.com/reel/Clt6yRSvXK4/,"Pineapple Daiquiri 🍍🍋

-lime juice
-ice
- honey
-pineapple juice
- rum

#daiquiri #daiquiris #pineapple #rum #flordecaña #floridalife #drink #cocktails #yum #asmr",10,19,6.367924528301887,"Pineapple Daiquiri 🍍🍋

-l"
109,88,18170238997251713,2022-12-11,6,Sun,203,38,0,207,0,0,38,https://www.instagram.com/reel/CmCJI0CLgUN/,"Smoky Rum Old Fashion 🔥

Rosemary Clementine Flavored 🍊🌿

-clementine rosemary syrup
-orange citrus bitters
- @donqrum 
-applewood chips for smoking
-orange peel

#oldfashioned #donq #rum #cocktails #oldfashion #rumcocktails #asmr #drinks",8,16,18.7192118226601,"Smoky Rum Old Fashion 🔥

"
110,89,18261443323190683,2022-12-31,5,Sat,646,18,0,595,1,0,19,https://www.instagram.com/reel/Cm2bHCCOARA/,"Piña Colada 🥥 🍍 

🎉🎊Happy New Year! 🍾🥂

-coconut cream
-evaporated milk
-white rum
-frozen pineapple 

#piña #pinacolada #pinacolada🍹 #newyear #happynewyear #cocktails #beach #love #viral #fy @flordecanarum",10,23,2.786377708978328,"Piña Colada 🥥 🍍 

🎉🎊Happy"
111,90,17874325871802254,2023-01-02,0,Mon,1394,45,1,1380,3,0,49,https://www.instagram.com/reel/Cm5RFLHOhfP/,"Macua 🧡🍊💗

-ice
-guava juice 
-white rum
-bittersweet orange
-simple syrup 
-squeezed oranges

#macua #nicaragua #miami #miamibeach #cocktails #rum #floridalife #flordecaña #fyp",9,03,3.2281205164992826,"Macua 🧡🍊💗

-ice
-guava ju"
113,91,17980627747818165,2023-02-05,6,Sun,691,29,0,631,0,0,29,https://www.instagram.com/reel/CoSXJyVNtnK/,"Whiskey Sour with a Lavender Twist 🥃🍋💜

-whiskey
-lemon juice
-lavender simple syrup
-egg whites
-ice and shake 🧊
-lavender bitters

#whiskey #whiskeysour #lavender #cocktails #reels #drink #lemon #bitters #homemade #miami #california",11,16,4.196816208393632,Whiskey Sour with a Laven
114,92,17977751863900254,2023-03-11,5,Sat,300,29,3,279,1,0,33,https://www.instagram.com/reel/CpqSXrUL9F3/,Matcha and salted caramel - a matcha made in heaven! 🍵🤤 #matchalatte #saltedcaramel #coffeeholic,3,19,9.666666666666666,Matcha and salted caramel
116,93,17866852475872097,2023-03-14,1,Tues,263,24,3,239,1,0,28,https://www.instagram.com/reel/CpyQFZCLun4/,"When life gives you rosemary, smoke it and add whiskey 🌿🥃

#smokedrosemarywhiskeysour
#cocktailhour
#mixology
#whiskeylover
#drinkstagram
#homebartender
#cheers
#drinkup
#craftcocktails
#rosemarycocktail
#fridaynightcocktails
#drinkoftheday
#whiskeycocktail
#imbibe
#drinkinspiration",15,21,9.125475285171103,When life gives you rosem
117,94,17962594139170786,2023-03-17,4,Fri,328,22,3,302,0,0,25,https://www.instagram.com/reel/Cp5x4c8L5_B/,"A little sweet, a little sour, and a whole lot of deliciousness - this dragonfruit mojito has it all! 🙌🏼🍹

-lime juice
-dragonfruit
-sugar
-ice
-rum
-club soda

#dragonfruitmojito
#tropicalcocktails
#mixology
#rumlover
#drinkstagram
#homebartender
#cheers
#drinkup
#craftcocktails
#summercocktails
#mojitotime
#drinkoftheday
#fruitycocktails
#refreshingdrinks
#drinkinspiration",15,20,6.707317073170732,"A little sweet, a little "
118,95,17958198077389121,2023-03-19,6,Sun,977,15,0,945,0,0,15,https://www.instagram.com/reel/Cp_VSmUvX1X/,"Let the golden hour last a little longer with a delicious golden berry margarita 🌅🍹

-lime juice
-lemon juice
-golden berries
-ice
-tequila
-honey
-tajin rim

#goldenberrymargarita
#tropicalcocktail
#summerdrinks
#margaritamadness
#drinkstagram",5,18,1.5353121801432956,Let the golden hour last 
119,96,18235014967164555,2023-03-20,0,Mon,60,8,0,56,1,0,9,https://www.instagram.com/reel/Cp6Ey1avAPM/,"Shake up your usual cocktail routine with this unique ginger, passionfruit, and pomegranate daiquiri. Your taste buds will thank you. 🤤🍹👌

-lemon juice
-ginger extract
-simple syrup
-passionfruit juice
-promegrenate juice
-rum
-ice

#daiquirilover #gingerobsessed #passionfruitaddict #pomegranatelover #uniquedrinks #mixologyart #cocktailrecipe #happyhourvibes",8,18,13.333333333333334,Shake up your usual cockt
